Item ID,Subsystem,IRS Clause,ABS Locator,Technical Requirement & Specification,Owner,Evidence Status,Target Completion Date,Evidence Document,Controlled Folder
BAT-01,Batteries & Chemistry,CN Rev.1 §1.3.1.1; §1.5.2,Sec 2/1.2; Sec 3/2,Type Approval per Chemistry: Each lithium-ion battery type (LFP) must hold valid type approval covering drawing approval works assessment and type testing.,Clean Electric,ACCEPTED,Completed,Clean Electric LFP Type Test Dossier,Folder 6: Testing
BAT-02,Batteries & Chemistry,CN Rev.1 §1.3.1.2,Sec 3/2 Table 1; Sec 5,Vessel Unit Certification: Specific battery units fitted to vessel undergo surveyor-witnessed FAT and unit testing prior to installation.,VFCPL / Integrator,ACCEPTED,2026-10-15,Ship-Specific FAT Protocol,Folder 8: Delivery
BAT-03,Batteries & Chemistry,CN Rev.1 §3.2-3.4; §5.3.1,Sec 2/1.3,Chemistry Declaration: State active cathode/anode chemistry unambiguously (LiFePO4 / LFP) with cell/module part numbers.,Clean Electric,ACCEPTED,Completed,VFCPL-MEP001 BOM & Chemistry Data Sheet,Folder 2: Design
BAT-04,Batteries & Chemistry,CN Rev.1 §5.3.1-5.3.4,Sec 2/1.2; Sec 2/1.3,Cell Marking (IEC 62620): Cells marked with secondary Li-ion designation polarity date of mfg manufacturer ID rated Ah nominal VDC caution note.,Clean Electric,ACCEPTED,Completed,Cell Surface Laser Marking Inspection Record,Folder 7: Manufacturing
BAT-05,Batteries & Chemistry,CN Rev.1 §1.8-1.11,Sec 1/7,Change Control & Validity: Type approval validity 5 years. Any change in cell active material casing or chemistry invalidates approval.,Clean Electric / VFCPL,ACCEPTED,Completed,Engineering Change Order (ECO) SOP,Folder 7: Manufacturing
BAT-06,Batteries & Chemistry,GL Rev.2 §2.1.1,Sec 4/1,Capacity Adequacy: Installed capacity sufficient for vessel duty. Provide cell/module ratings usable kWh and derating assumptions.,VFCPL,ACCEPTED,Completed,AMBESS Sizing & Duty Cycle Calculation,Folder 1: Basis
BAT-07,Batteries & Chemistry,GL Rev.2 §2.1.2,Sec 4/3,Propulsion Redundancy Exemption: AMBESS is dedicated to auxiliary/hotel anchor loads. Main propulsion redundancy rules do not apply.,VFCPL,ACCEPTED,Completed,Auxiliary Role Declaration & Interlock Memo,Folder 1: Basis
BAT-08,Batteries & Chemistry,CN Rev.1 §1.4.c; App.1,Sec 2/1.2; Sec 3/2,Cell Safety Testing (IEC 62619): Cell drop external short circuit impact overcharge thermal abuse testing.,Clean Electric,ACCEPTED,Completed,IEC 62619 Accredited Laboratory Test Report,Folder 6: Testing
TR-01,Thermal Runaway,CN Rev.1 App.1(b)#5,Sec 2/2.1; Sec 3/2,Thermal Runaway Non-Propagation: Test demonstrating runaway in a single cell does not propagate to adjacent cells or is contained in module.,Clean Electric / VFCPL,SUBMITTED,2026-10-30,Immersion Runaway Bench Test Report (818 Cycles),Folder 5: Thermal
TR-02,Thermal Runaway,GL Rev.2 §2.6.6,Sec 2/2.1,UL 9540A Test Equivalence: Characterization of off-gas composition (H2 CO) LFL heat release rate (HRR) and re-ignition hazards.,VFCPL,SUBMITTED,2026-10-30,UL 9540A Cell & Module Flammability Dossier,Folder 6: Testing
TR-03,Thermal Runaway,CN Rev.1 §1.4.d,Sec 2/2.1,Enclosure Surface Temperature: Enclosure exterior must remain below critical ignition limit (<100°C) during internal runaway.,VFCPL,SUBMITTED,2026-10-30,Aluminum Casing Thermal Finite Element Analysis (FEA),Folder 5: Thermal
TR-04,Thermal Runaway,GL Rev.2 §2.6.3,Sec 2/2.1; Sec 3/3,Off-Gas Pressure Relief: Casing fitted with pressure relief valve discharging gas safely to exterior without casing rupture.,VFCPL,ACCEPTED,Completed,PRV Sizing & Discharge Flow Calculation,Folder 2: Design
COOL-01,Immersion Cooling,CN Rev.1 §1.4.d,Sec 2/2.4,Immersion Cooling Arrangement: Details of closed-loop dielectric immersion cooling pump P1 circulation and casing heat dissipation.,VFCPL,ACCEPTED,Completed,Immersion Cooling Technical Submission Rev A,Folder 5: Thermal
COOL-02,Immersion Cooling,CN Rev.1 5.2.d.viii; App.1(b)#8,Sec 2/2.4; Sec 3/2 Table 1,Shop Fabrication Hydrotest: Cooling tank tested to 1.5 x Design Pressure for 30 minutes with zero leakage.,VFCPL,GAP,2026-09-25,Formalize 30-min hold in QA SOP-004,Folder 7: Manufacturing
COOL-03,Immersion Cooling,GL Rev.2 §3.3.3,Sec 2/2.4,Shipboard Tightness Test: Cooling system tested to 1.0 x Design Pressure following onboard shipyard installation.,Shipyard / VFCPL,ACCEPTED,2026-11-15,Shipboard Installation & Pre-fill Leak Check SOP,Folder 8: Delivery
COOL-04,Immersion Cooling,GL Rev.2 2.3.4,Sec 2/2.4,Protection of Live Parts: No mechanical pipe joints located directly over live electrical terminals. Monolithic sealed casing.,VFCPL,ACCEPTED,Completed,Mechanical Tank GA & Flange Detail Drawings,Folder 2: Design
COOL-05,Immersion Cooling,CN Rev.1 4.4.k; GL 2.3.9.m,Sec 2/2.4; Sec 2/5,Cooling Failure Alarm: Failure of pump P1 loss of circulation or excessive Delta T must trigger an alarm at manned control station.,Clean Electric / VFCPL,ACCEPTED,Completed,BMS Pump Current & Delta T Alarm Logic Specification,Folder 4: Controls
COOL-06,Immersion Cooling,CN Rev.1 §1.4.d,Sec 2/2.4,Dielectric Coolant Specification: Fluid breakdown >50 kV flash point >160°C non-toxic readily biodegradable.,VFCPL,ACCEPTED,Completed,Coolant Technical Data Sheet & OECD 301B Test,Folder 5: Thermal
BMS-01,BMS & Safety Logic,CN Rev.1 4.4.c; GL 2.4.3,Sec 2/5.1,Single-Cell Voltage & Temp: Voltage of every cell tab and representative temperatures monitored continuously.,Clean Electric,ACCEPTED,Completed,Clean Electric BMS Circuit Schematics,Folder 4: Controls
BMS-02,BMS & Safety Logic,CN Rev.1 4.4.h,Sec 2/5.1,Critical Override Prohibition: No manual override or software bypass permitted for over-V under-V over-T or short-circuit trips.,Clean Electric,ACCEPTED,Completed,Safety Firmware Architecture & Lockout Declaration,Folder 4: Controls
BMS-03,BMS & Safety Logic,GL Rev.2 2.3.1; 2.3.2,Sec 2/3.1; Sec 2/5,Dual Independent Disconnect: Two independent isolation devices (positive & negative DC contactors + pyro-fuses).,Clean Electric / VFCPL,ACCEPTED,Completed,DC Single Line Diagram (SLD) VFCPL-MEP001-SLD-001,Folder 2: Design
BMS-04,BMS & Safety Logic,CN Rev.1 4.4.k,Sec 2/5.2,Loss of Communication Safe State: Communication timeout (>250 ms) between Master BMS and CSCs reverts system to safe trip.,Clean Electric,ACCEPTED,Completed,CAN Watchdog & Fail-Safe Test Report,Folder 4: Controls
BMS-05,BMS & Safety Logic,CN Rev.1 4.4.k,Sec 2/5.3,Insulation Resistance (IMD): Continuous monitoring of ungrounded DC bus. Warning at 100 Ohm/V; trip at 50 Ohm/V.,Clean Electric,ACCEPTED,Completed,Bender IMD Integration & Calibration Record,Folder 4: Controls
BMS-06,BMS & Safety Logic,CN Rev.1 4.4.a; App.1,Sec 2/5.1,SOC & SOH Estimation: Deterministic algorithm for SOC/SOH tracking with cycle-drift compensation.,Clean Electric,ACCEPTED,Completed,SOH Estimation Algorithm Whitepaper (818 Cycle Data),Folder 4: Controls
ENV-01,Environmental (UR E10),CN Rev.1 §5.1; 13a-CN,Pt 4 Ch 9; Sec 3/2,IACS UR E10 Environmental Tests: Dry heat damp heat cold power variation tests on BMS hardware.,Clean Electric,GAP,2026-10-20,Schedule UR E10 test suite at NABL/ILAC lab,Folder 6: Testing
ENV-02,Environmental (UR E10),CN Rev.1 §5.1; 13a-CN,Pt 4 Ch 9; Sec 3/2,Sinusoidal Vibration: 2-13.2 Hz (+/-1.0 mm); 13.2-100 Hz (0.7g) on 3 orthogonal axes for module and casing.,VFCPL / Clean Electric,GAP,2026-10-25,Multi-Axis Vibration Test at Accredited Test Facility,Folder 6: Testing
ENV-03,Environmental (UR E10),CN Rev.1 §5.1; 13a-CN,Pt 4 Ch 9; Sec 3/2,Inclination Testing: Static 22.5° and dynamic 22.5° roll/pitch to verify pump P1 immersion & circulation.,VFCPL,GAP,2026-10-25,Static & Dynamic Inclination Simulation / Test,Folder 6: Testing
ENV-04,Environmental (UR E10),CN Rev.1 §5.1; 13a-CN,Pt 4 Ch 9; Sec 3/2,EMC Immunity & Emissions: Radiated/conducted emissions burst surge and ESD per UR E10.,Clean Electric,GAP,2026-10-20,EMC Test Report from Accredited Lab,Folder 6: Testing
ENV-05,Environmental (UR E10),GL Rev.2 2.2.8,Sec 2/2.2,Enclosure Ingress Protection (IP67): Certified dust-tight and immersion-proof casing test per IEC 60529.,VFCPL,ACCEPTED,Completed,IP67 Third-Party Laboratory Certificate,Folder 6: Testing
